,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.1-0.9,4.300668598303491,3.8144052722473876,3.2759532628901296,6.937002145471683,3.1235544799454047,3.287097230772835,3.4187753326860957,3.2715789258045147,3.222049919770723,3.1889775163470473,3.7193517507124487,4.787142278602724,5.109695446370117,4.069084675318492,4.502436455443969,4.283822910070933,3.3743339486525654,4.982564430614589,3.2447474131248923,4.585077161465733,3.089405440643104,3.171491432851027,2.560803041030104,3.362389248416702,3.302843082679111,4.1289717776609,2.9617950643279802,4.7071232675775905,3.9875354352181267,7.747806919359137,5.890978233962723,3.393271621781989,5.117427991988144,3.7500599380069244,6.111600368414794,4.248997585486159,4.975494578855991,2.645065908691349,3.439974271985477,3.853228931428538,3.4646096871655803,5.773489677597862,5.952065063435785,3.9916099231124442,3.3410218646799863,3.5778162758167156,5.602247590759096,3.980531260238674,3.2090441939371557,3.712755491451053
0.18-0.82,1.9618417365134213,2.5938264588819266,8.673118060442892,2.5185527584547613,4.632179505907815,5.821238062059143,3.382156976352355,2.7630163830611942,2.458496731676601,2.9402742716618646,4.057676275227158,2.3875540665519095,2.4993973994390943,3.4796813625742846,3.0786218983064426,2.406694205613791,4.1718434573346865,4.178282000570773,2.530481168863867,3.4907634243359,3.3456081629195964,2.1376687649606194,3.1389576309666274,3.6839668733341995,3.2356556954391418,4.01270023377085,4.709929084730713,3.5110034935981944,2.7017788007742825,5.811900674168845,5.2482620231987624,4.55441490003707,2.384345982668809,3.013995214215268,4.675162702144231,4.243326079333554,3.3368174675855427,2.3525610054537434,4.145937402613359,2.680550029941922,2.372616257633608,4.638323569062048,5.570215358514048,3.864650038937799,3.729230411233322,3.419054144958758,3.3576452772174696,2.467283987105618,2.6145899143322717,2.5872921869712022
0.25-0.75,5.3690086568678685,2.97415046907926,2.0949885555349366,5.903338626595252,2.850090942377278,5.126803474050644,2.838625684762945,2.008610858416258,2.751480257485275,2.604411594699196,2.8410018876821996,3.705896575722691,2.335281445909214,1.922091999087959,2.888962672471095,2.657351387947537,4.316428658433518,3.4740840945052875,3.399273167509385,4.4981801078888,2.611776787895662,2.536905232025255,2.06175051433182,3.7391984825677693,3.6613435465499693,6.660471626516184,3.090963482458088,2.5519107172450095,2.0039915145872502,2.844266048617528,3.040511159137023,1.8669335734438937,1.8745183980178053,5.299439304811784,2.2127258080767276,2.5657518629546265,1.8668514654266328,3.5523019151613586,2.37570246043079,2.604273204425696,3.2754902215917987,4.402612073528938,3.339215832620228,1.8813588190325934,2.7466708074246546,2.4149052164494056,2.2660130441724853,2.1371496414899136,1.9221524658863385,2.296829335794135
0.5-0.5,3.049654707181655,3.0439452137459586,2.93936720468952,2.9433569061598153,1.382795264201591,4.086539631782921,2.77912198181401,1.5862767392347734,2.178264635529078,3.002782300136852,1.2491388257265588,1.1342108701120408,1.4528529108409018,1.5638603198148295,1.5379919707039216,2.5581775377381817,1.3454250460650146,1.5639930529042758,1.3865507816486524,1.4759877488971336,1.9296854630144746,1.3406333439270928,1.157150418596968,4.498691580904815,2.101305115427448,2.0006620010892258,1.2353148276438168,1.3197006877394355,1.1962521017020353,1.420107996046099,2.431698491243688,1.1874402901464973,2.160561002652795,1.3399440282483024,2.2849446067451944,1.6525208944029492,2.3527498851247874,3.176899522394234,1.4651897991428204,1.3403036755967817,1.7400786716848562,1.3913741015046988,2.5708173465677224,1.3078404252999891,2.8565475385999086,1.2742395105869848,2.328919988814361,2.3158114093015607,2.094802108876395,2.0133448503150078
0.75-0.25,1.7372679108785094,1.0748182119390344,2.2405093467775767,12.887086243616952,1.7688924463995301,1.3548922169848272,1.18351119218518,1.1785649107794969,1.602003374723493,1.0195878851267266,1.3355758390868038,1.6525328642871187,1.0328858896185462,1.7071504789692138,1.0536790358679171,1.0297803208359047,0.9649508921516157,0.8020685562918815,1.3690032798402345,1.4812467464705903,0.9986171624623511,1.506306217979185,3.417358281881745,1.6205943405756043,1.3644645312013033,0.967472908950197,0.993671558974959,3.222223183987221,1.6597828731177673,1.0287791731050488,1.4627122864365298,3.510469665749438,2.3169907938715704,1.154362315394167,2.505573601866235,1.150620995079529,2.0628735369293345,0.9435644992091734,113.15239202292393,1.2399156001912488,1.3126657613071324,1.4626514601549099,0.8858831750454605,0.9337662815913423,2.661525195982878,1.0497299748180915,0.9107578572172382,32.01488908209351,1.2028807973304931,1.217791642051191
0.9-0.1,1.2797878578773754,4.640215099049491,1.042059272896634,1.5611773456065596,1.167657841001141,1.7898453528466,2.015651243736085,1.0123862377323107,1.5905944003525976,1.1036289108741444,1.299484304994614,1.2338611141387572,0.9504798928753253,0.8977313225246896,1.1317725907361489,1.5250013393471527,0.8458384134201712,1.160609704540702,1.1957820498978344,1.1538450428399474,1.120133651812405,1.3326703116825034,1.4248678233521992,1.5639390145919414,1.2035877579225858,1.633560892893498,1.1771282772706608,1.566350146648194,1.1099025305849737,0.9514117255848907,1.118999688628859,1.0114269335754345,1.2639086266022317,1.4556206009541408,1.0872387899196079,1.044630749608551,0.8076048019909733,0.9550424064496069,0.986665916153945,1.2146513357691349,0.936657572285548,0.9085753585339358,1.9290891284248617,16.14606628648468,1.2816868479428418,0.9623993287160462,1.1839745793613812,3.7249682866782616,0.9044024053756762,1.2080382067108664
