,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.1-0.9,8.993962161446362,5.737545949911708,5.490430012834242,6.07947652895977,13.038019726422467,5.904296599103204,6.52041103655792,4.3958384205522485,6.524487425862638,4.978220859917013,6.83450708579645,9.763511095770818,4.951152069520101,4.560083731569735,11.924780813543777,9.191687694028069,6.4702105049437995,6.296791018264104,12.911279658544197,4.149744710465818,6.820000767697439,5.898815983393321,5.795432346037022,4.455672515101965,12.59843067323984,12.023085454621667,12.215119466350645,5.76281679438506,13.486122395717482,4.651507016268339,7.202130496786915,4.383764147452235,4.745281912495639,12.765301681139645,12.71598213281617,6.546328882439152,4.383445180825777,4.533780035712837,11.820522267302652,4.676581878642459,6.249135267286543,5.178974768439841,5.866071946972672,13.26024673465686,12.972333958487448,12.428485584898212,5.520940876894446,6.418688803647294,12.355414232826492,5.906773825722675
0.18-0.82,6.956348734092124,5.472762227123917,4.761267507896814,8.44773441166625,4.341701519037523,4.842936162818696,4.374351500056372,4.317854716956279,3.9232965339127297,4.174408851526681,4.099927750654968,6.651956211796832,5.459719990540153,4.711360286613571,3.083857062121532,5.466614374470754,4.79421776806969,4.6490742528055895,5.789459604351308,5.193735242934252,6.230027157194903,4.227776251863819,6.205508137390139,3.4143624243922854,6.2501878210756106,3.3527209289578606,3.581862051026739,4.097203983307494,6.293860174487833,6.831699398906616,4.7056372740068255,12.211474037018453,4.157534399553095,11.879222581902736,4.369667415096715,4.276912853129927,6.248616128643263,4.215244125564738,3.313805307801895,4.25710736037035,3.328857738478377,12.259533447744891,13.003709902726925,7.743583369328334,8.811162564573646,4.482672198633236,4.5966362028812675,7.854250325574754,4.788012124720387,7.563488633474145
0.25-0.75,4.585971542026879,4.941784176978013,3.284329198298285,3.799068929303804,6.71429942359983,7.203085271654372,6.11411710725036,7.235203997170037,5.136955184847861,7.5929287498863065,4.6089628006450125,3.924463387825757,4.28430761882526,4.9582299599703346,4.860103584041271,3.138926683142743,3.3312672577579927,6.3173815263202995,4.4584859990513195,4.558242193492544,6.550392280697667,6.539973611684422,6.13484153684178,4.594337224028604,3.9126425670746086,3.3958032488606325,3.603530026710665,7.357357342249543,3.621868168649865,3.6865311019517626,3.84026946696269,7.207564525691561,6.4705174448169425,6.030670130844478,6.286895521727558,4.274815435616983,4.752976875401284,7.331431392574321,8.333013184118048,5.340930568264741,6.039808077492661,4.281271743119734,3.279006051796608,7.2295596253991565,4.456626109102683,7.442082138305518,3.3906711666745246,6.3161227643094415,6.224650749264059,3.8873204482053
0.5-0.5,2.036014419291922,3.965670728207718,3.5674337297403476,1.8954332939708916,2.6414892614277017,4.372633148655735,6.266646399587502,4.426869096487823,2.8453123982500066,4.4842195047845586,3.23618830765147,3.4429472108110883,2.2765141178447137,5.429093022912888,4.683792169791234,4.438769703582219,2.6178069083620437,2.695512278214532,2.669262361362907,1.971207757918843,2.6416035303399537,4.832696789923507,2.4238407674350713,5.688962921390336,5.364875199938148,4.916181728349039,5.999362524189082,3.8389766172083433,3.4464343285045893,2.7092036975313234,3.156201464614643,2.9605284840045325,2.2923436157258386,2.163366790524918,4.73889701541819,4.584589585256765,3.117595479505129,5.338491077259505,3.6751579484245567,4.832145270959,3.374723570327899,2.1386611547642564,1.9510205144587578,3.4811858396418427,3.442545136402934,5.080422200727189,2.0721895385439195,3.2440914181976055,7.953053529382789,3.360014884482385
0.75-0.25,2.157148462714494,1.8421349153652964,3.9216737702188924,2.7289819229600596,2.7965362706656824,4.735093266461698,3.8234534942171363,3.150566744651918,1.9940153009969503,3.641292100618739,2.3336434306191123,2.9048188955717285,2.3196010745094675,2.2622253212989505,3.074366529366771,3.8411306074236085,1.6834505887543154,1.7512381704310775,4.717357263593288,2.0498722014090816,2.3254102759731317,1.9740775113478561,4.712793230241659,3.6573683721970496,2.4125346715397757,3.1831400010732436,3.4075582522135677,2.1387218209976115,4.614311751971336,4.202087542063598,3.873934018009712,1.5163423864482761,4.041029063578682,2.886193470568269,2.3257098616442655,2.793644674495293,2.6551922831458805,3.6617232791449377,3.510104612038748,2.73274651985305,3.3971880231456364,1.9762108463121602,3.3871976718118852,2.285908587277171,3.819483853231778,2.3052611282232296,2.2709088735938163,2.1990581636903137,1.4169553305829488,2.4233635114031413
0.9-0.1,4.60250282191326,2.0112678063969267,1.5828621479726543,1.5968410521597838,2.105985655894163,2.960136567461589,2.4372254541437015,2.8698326410650616,4.440891359642566,1.9623198372842854,1.6008173368231882,1.5362887571847208,3.4454470139987516,2.935390113709382,1.9463875028266984,2.460115903416828,3.355092789425754,3.1423407555202063,1.7456035474079727,4.383849018842542,2.9934375604825902,2.1480553451761386,2.337383503027873,2.373745281952291,2.699490105085585,2.107087478916672,2.3490536236020465,1.6768033488405123,1.540398292225215,1.4553049752244485,2.7312605756703996,2.0856673396293606,2.5428300559750805,1.4943649428953618,5.78008171698945,3.8997975834425427,2.9532138376915915,2.28006810892617,5.583991378846133,2.14506138449512,3.9613333876921293,2.9910827302997465,3.331314770324035,1.5130015922821345,2.1355968568800736,1.9651756129971787,4.558390072826106,4.024376490990901,3.38719482778913,1.7607726663638175
