	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
0.1-0.9	4.232604902415898	3.1290650002135783	3.1380043050181294	6.249687135306153	3.0413606688389825	5.6041487665154825	5.025125067705565	4.448821131699748	9.334094906377207	5.8133086842834745	2.961484392262952	4.910068428427903	3.091482631323067	4.988581208679202	4.1908062513260145	3.203255348951792	4.2744931131325385	2.9129464102972342	4.030678129539574	3.4740717189775743	6.680039922615704	4.015321158348662	5.023074143260721	3.415526800447261	5.1110723694559885	2.705995473764102	5.769172469490216	4.394246937210478	8.010410606327909	3.627876765411449	3.5250296742526768	3.3861924239216115	4.776998475456468	3.4966334296038037	4.376678394297756	4.244853269348807	2.901834450454711	2.9894887532702064	3.4009528469767054	5.698520194570541	4.118689787987361	5.063608771175437	4.429628116499945	7.308595276020628	6.322025096077838	3.3792788344165436	6.565368145361417	3.2171958604292135	2.8383302091511897	3.1759375182273373
0.25-0.75	3.4563342366820797	5.095770112675571	1.9679655713832505	1.78728725479173	2.6735753028727967	2.2423820067054625	1.8837073616397173	2.530742521499152	3.7938645390202237	2.316664199243283	2.3884853004089335	2.606004151938938	2.1742156107490636	3.025908498177194	2.17983245392158	3.066715711347045	2.995763118587141	4.039075958219215	1.8941178087911792	2.9714836394479374	2.6280930970054683	3.5990367798370233	4.198923363107884	3.336748921294094	1.997193996912561	4.053009112244063	3.6021656202481207	2.5574948368117956	3.0764705986547516	2.4327582048882475	3.950736223825437	4.960082132638998	3.4435505023710515	3.5162164224831196	6.636894586576322	2.0056944637029117	2.5156525745595903	1.8972575796099023	2.0781464267502128	2.006175285802738	3.6744263664909274	2.7906957896632223	2.654978985645205	2.180964880310075	2.4711809161889278	3.0538231724459495	1.8384913195415393	1.9554516998060651	2.148230752056229	3.5770062196479078
0.5-0.5	2.018857628815971	4.6563397453893165	3.4173563416512844	2.0661797408595515	3.624624728012588	1.3121298175550447	1.181137646453457	1.5668334568656384	2.7804720226703927	2.9410381045530753	1.7634221381305137	1.7629157130053463	1.3769217175278228	2.8898609522770884	1.2333399797739915	2.0360062317227032	1.0891033395550267	1.473638834136326	1.478089119868939	1.1066725227830478	1.5297362241019092	2.7366692661179766	1.8659736424650764	1.5979740454200715	1.239730751618091	3.0282236894339785	3.9531044918849627	2.6990997977838567	1.4346402040365862	3.545790842046827	2.4572263961345087	1.3363983554246783	1.3750957201217633	1.6264226718271242	2.122412542057352	2.786083879956328	1.6906329986406041	1.9582616942375763	2.1993891072564002	2.1454700898657264	2.4188789240527537	1.3440802833271706	1.3316969959771108	1.3739943903136882	3.3304721735118377	1.4458754231266218	1.529402608612346	1.5466725957861187	1.2135209494847579	1.3113272207545577
0.75-0.25	4.783119944503625	2.5293845627285423	1.2107687132584977	1.9467276148643535	2.5070453710469827	0.9474033967267171	1.6226594899247442	1.0276663571317215	1.2938328875214533	23.013379759941596	1.1082987521219603	1.2177552442519575	1.0021926961707006	1.0324080143331245	1.717016149853657	1.1143305088366184	1.2989239328524769	1.4039110586803822	1.6828653760937617	1.4367277028658987	1.2465545843602504	1.3595955279562424	1.1038410964555643	10.107800361574343	81.77581879904307	1.5697988796436906	1.9788646062242852	1.3200254193338816	0.8828642255041387	1.1816423519336907	1.152700396708085	0.9738448897846791	1.1443087344571081	1.9050168772656202	1.370943771813868	1.0238435678028506	0.9584463084652969	1.591187359981297	11.930537433271073	1.0520098654225616	2.3553745703635283	1.362706254378267	1.1671450596593815	1.4033361440732477	1.2113956470928895	1.383782485999909	1.4942714276904412	1.1305235499660933	0.9628643854221192	1.246448677731725
0.9-0.1	1.7214303826164408	1.1567958725463758	3.142157836172062	1.7026902305086584	0.9972099757782737	1.9219598493692325	1.0139234273827773	1.9008965846090682	0.9822841402708915	9.791416193721526	1.0881865001343118	1.079495179881898	1.5342889148999082	0.9617071566322435	0.960654358566967	4.015657437097235	1.3548371265974575	1.3409336964341108	1.7910937945322463	0.9137851623415794	0.9912893912264418	1.2238831040854479	1.5635132630505553	1.1084991246237514	1.5441818476052012	1.3620156303274462	1.09244721668089	1.8356284951989306	0.9047917740606601	1.3041172425615177	4.8868845967272065	1.091144268617541	1.320249661263018	1.9185393798436337	1.1244866522683903	1.0596962726776273	0.8989575655163987	1.5536972621594825	1.260996720677279	1.1141729326071377	0.9690909066626178	5.369027086629182	50.59918651945214	1.3077243731572021	1.2736549406339646	1.0658504360432386	1.033853109910503	0.9833638205672488	0.9969512343165505	1.2885705932347213
