,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.1-0.9,5.720952648717376,10.999435227214294,9.66723064029185,5.469290192233353,4.789318364659101,4.613120664195986,5.645752852616819,12.09214647874105,6.83794458615201,14.777763499599121,4.343236891540125,8.284669931195317,5.630361321927712,4.342301375216973,12.169858831562165,5.331356218787396,6.814872560969388,4.755982883807497,5.597990113048639,4.987969513648692,4.933863538011467,5.583894716456027,4.741697924211182,11.708283645411049,5.33603843060035,5.336862106947407,5.263648443779924,5.327453709439709,5.898555759695258,5.054040745757274,6.633698408875978,5.599544835187325,3.76350728782956,6.327120346721049,12.282069273459022,8.477876544940372,4.537106761507647,8.583006721990026,6.531301762486392,6.907991321592705,7.37519004611884,6.292308660396288,5.812358733635467,5.684084922027706,3.726656119317818,4.220105205767092,12.714375722935385,4.688677916559688,6.8152719281771,4.50965041808179
0.25-0.75,4.003052549063444,4.079979426904257,3.320948149986254,5.933878616177946,5.483699603721015,3.290251136942738,2.825211955194982,4.787905432948298,5.633043862307035,3.534521040081743,5.396751740880458,3.306837693846345,4.1860812894357275,7.56106531391034,9.532916884021208,6.749096467283365,4.4773165525541785,7.271916771033976,5.320064872479879,3.0731216434069872,4.312574305755054,3.8735568841150854,3.86547925055422,8.06323271784373,3.8766630755179907,4.250863135369257,5.139093831355093,3.028275973376177,5.945147536984938,3.992850893082539,4.073723642542798,3.628139642404849,5.767579461707552,6.921599758264721,6.264102116595255,6.529391312042994,5.128259281061181,2.967975895127001,5.292595580739299,5.240695662930822,4.086584858600946,7.39817605970363,3.1014148554504497,5.530552350820921,3.5822785901621517,5.517609510094384,3.5247859082804402,7.40849136842183,3.133116230888435,6.388948243764522
0.5-0.5,2.5457628559984062,2.492619735080011,4.913620262296923,2.388959287355034,4.312116432760241,2.954539074133035,3.4295945689467033,2.238982615862357,3.446861177764356,2.8713462841429505,5.764487894143278,2.749294281838864,4.227830472964768,2.8117062983001944,3.061649768668203,3.9150110866523278,5.414731879624413,2.4514792594182055,3.4395145390996196,2.9711562890822174,2.636979433875624,2.2895471928797746,2.1466544504710736,1.9282663085304523,2.3754276701142305,4.316070631083743,3.8491345801767163,3.7623615703159365,3.749808876089941,3.2104680491073863,2.585332681433893,4.8333405133635665,2.423771062585338,5.560503962355092,3.680777305740634,3.1229795569110244,3.14667214204534,3.6580841739967522,5.2370831120928845,5.848187860525042,3.1309660021967787,3.4152994916837742,3.307632178581749,6.181385614265115,1.9319506360545895,4.975558382476416,4.382538922009827,2.9942390820034324,4.845944451891692,2.393023556086838
0.75-0.25,2.1369201875512496,3.024373325852948,2.6370833196536148,1.3862910595510392,2.0851365471341006,3.1387655653677875,2.92923778279934,1.8587651320719385,2.3172627815996987,1.8799742247546274,4.101067323114625,2.036171290210173,2.0871012514683223,2.375478925595072,2.0945501429192483,1.8405204250115177,2.6746711057294186,3.385858360642204,1.9537939314626716,3.5802089290366936,1.9940441940105074,2.05489574312981,3.4805824566483095,2.053017365822672,4.221925478882438,2.0154266025338523,3.160908306626158,2.4967472979787435,4.445580938150647,1.8262372728515104,2.1213115649505565,2.032265095373377,4.72057426551065,3.124749774009709,2.1955606033649415,3.421394993442215,4.468942622304098,4.859034617266524,3.094570726905909,5.796795525476484,2.0791099225009613,2.4279309172988146,2.157228291840022,3.7011476563096575,2.7302931238537993,3.417056020722266,2.643541561261367,4.080474523708357,4.040158190727686,1.855435808987558
0.9-0.1,2.0568040204276334,2.495306038473938,1.9859892052253163,2.8611531153149357,2.808818104468797,2.301654575095412,4.310453579718818,3.6842141124629655,4.218162307608273,2.7358310047601098,1.5099791794903132,2.6506076478799265,4.143570148974553,2.661520774499246,4.1718842769937226,2.971198398188442,2.538775079824316,2.113135880823837,2.186100654180207,2.1443504224132295,2.1065918756354964,3.99154945128135,2.604248356530999,1.49844697136466,1.7268837255028853,2.6538873859295973,3.2940715251444095,2.88524914075273,2.7601586844564094,2.3642358807861696,1.9867816433325118,2.817622605730105,4.137002846023959,1.8450256453358256,2.8067844993063797,3.7889359819146717,4.010413214286222,4.5693955739662355,2.1137380054694956,5.776554819644023,1.841923862186851,2.6583366312588153,1.994086657937734,2.1444833634387273,2.421006797127175,2.57115211643309,2.162849317108754,7.3665151490762195,1.9630171897958868,2.1383092237534735
