,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.1-0.9,12.622933814479202,12.58187346918164,29.71701440459283,10.288231299921282,14.11519445083509,10.982609220464685,33.27684430195292,23.460899011269216,13.57368494158881,13.678065472394948,12.893719124196537,14.922418988769872,12.9084181401869,13.180391664851973,18.747311598524526,19.60676051082532,20.63278117909348,11.28550228415204,14.289763059827866,12.67892674387613,9.244837842444475,22.225316455225894,12.846959851665291,14.17309305262011,15.145749688295766,29.815474389362357,13.535010697545218,10.361249077238528,15.844724204320631,10.032958878448193,10.330463716138318,16.069408048814743,37.075079651471185,14.116462787146634,18.70004872097944,9.827509746620285,14.909716264188985,16.128089476973837,12.891802356030647,13.947786862446357,17.5271913536452,10.022376678838084,14.279731584543205,37.03948503856879,11.758975184943345,13.088887921977753,12.215521480880083,11.503450761324027,13.526713249110413,28.928660632793385
0.25-0.75,9.455562141568246,9.065898273321073,9.033540650492256,9.336957334789101,9.878349982496683,9.270290191124342,9.059522842494069,7.853013396786056,9.663205405547226,8.677838297779507,8.655220050492662,9.120248567020727,9.503531820347016,8.540349062331375,8.994985290835457,8.712199552940437,8.88269254527951,9.076158864525633,8.514828182435533,9.198232334072744,8.002736012529262,8.814412664399383,8.508740379762163,9.5437793272517,9.244631030218166,9.226212595462805,9.580995272806689,8.665417426178205,10.908264013680496,9.218299044924573,8.885474099470256,9.340430217479556,9.105496504050645,8.797997540462354,8.522371148075793,8.965440648821028,8.572140242004348,8.77410651594432,8.481966324220188,8.743662503498431,9.078275595325707,9.20444384973241,9.414649632179579,9.244051402222293,8.483434135168322,9.042824457419556,12.888605785407302,9.276493205283813,9.640366263426618,8.957334546994906
0.44-0.56,8.961778610442101,8.198554483091012,8.940438894375522,9.070717923313518,13.165921067009714,11.84117666212048,11.249236715237478,9.27563661460189,9.383753128926916,9.29484773876262,9.08370015264932,8.36764791825969,9.328993294212983,8.970238380477662,9.913872948731296,8.995494562147098,9.490545437494498,9.545633999632846,8.058819692573111,8.940685844030899,10.676374108018415,8.829981566423696,8.723423224651322,9.169734413556135,8.791682247572284,13.528990795718851,9.54167994337674,8.716718955563458,8.450652978831739,8.500631968110694,9.010390772786943,8.456790218288214,8.88789797482708,9.00617271082485,10.912510542182805,8.97849978668225,9.429720378646628,10.243494787036168,12.118916090580637,10.187163673082438,8.817816507154664,8.778162350275846,9.069168275656985,9.232875932164912,9.373567291136029,9.024482174201676,8.734367030181376,8.616811932731013,11.244719109838098,8.682121764004417
0.5-0.5,8.87830185374936,8.78283181083785,8.681651190665084,8.036514586618775,8.054320926604,9.409197215435801,9.37682660620608,8.242744195890422,8.898763695459278,9.268433862924894,8.866101780050212,9.373498897896019,9.963775848295995,9.653364024537172,9.011116418200839,7.6462886743017835,8.147653777726752,9.808706974477285,8.247865846846665,8.26560559723707,8.171270397647989,10.55497642577417,9.653941908099057,9.099006094743002,8.519724240459658,8.57041635694508,8.12043502523709,8.484183907329097,8.851290254004835,8.798145949880054,8.713174585713821,7.946895336985361,9.168555684597095,8.31800521967456,8.091113653117578,7.8561103619150225,8.843905694625366,8.459091581816024,8.962365267217322,9.379183208995466,8.296767424462361,7.924466391325559,10.094219743380926,8.572969111449293,7.852975878922337,9.107477833746387,8.394145189723996,9.237529265226435,9.89643670355432,9.09078014407769
0.75-0.25,7.285432772752542,8.183633242927337,8.828538635770041,8.45551953613461,7.845216585186519,9.015586700965425,8.455425498623772,4.897297632667911,9.121054028399662,8.528842549767912,8.22541489308104,7.6309298029200745,8.019369399140972,7.932843685932813,6.404099777800596,6.682442219179846,8.834802249689446,8.74237834189451,6.86239766446496,8.967787735727555,6.485575066024026,8.224224037968831,8.537808806710661,7.9179409927693305,8.391680506683558,8.28131594816457,8.824577062482653,8.816484585377106,8.254823057824408,8.727482913102751,8.868589963078808,7.447935563888718,7.982803474419511,8.281518179356603,8.112347044654404,8.795667765498754,8.791496292916719,7.920440894848584,6.474824016918979,8.580069549643316,8.434297151432602,7.947054178474443,9.936344758585406,9.933615851089424,6.391701835625732,8.742095397083807,10.205817560666484,7.397563742162645,7.717134739957526,7.595796788716794
0.9-0.1,7.350533581444516,8.67992717069193,8.49641278743711,6.831195040431303,5.703374692122203,8.890873009778312,6.070848777427793,9.397966745985535,8.086396547009636,5.915940404564233,6.116074798935332,6.602326492923766,7.95643181301476,6.488330997228145,8.315913859469246,8.10043185775639,9.199640534100409,7.317352665446104,7.875477076623866,7.135450825644018,8.49810797108515,7.569416716172621,8.059147445468508,9.394664494790542,8.956727160830944,7.080877124294581,8.1211111829963,8.243918837987076,7.516167014967647,7.156158729948443,7.544001026334508,6.761734815827576,7.025398201399242,6.106012614712358,7.887154715636683,8.193909142461958,6.848412327000834,7.191145438270314,7.651845503014101,7.140703200957823,7.759041540918769,8.204988004122614,7.530416779083865,7.705063927527935,7.049386598384328,6.673600227527294,8.665198864049449,7.903137995206335,8.384750175292256,8.327580947021318
0.95-0.05,8.033069168538395,5.962960668635349,6.428380079054646,6.969783980008978,6.8715657163809105,7.421447887263389,7.675677430460545,5.4207421980440715,7.582307981981672,7.158297925697379,7.335606950864373,7.52301209043879,10.202481940135693,7.908681863556546,7.422718811093796,7.8024531340166625,5.80036571625669,5.3293249406221275,8.370538116873588,7.930968042573054,8.931369869625925,8.123318951015769,8.518427119490655,5.485750083682797,7.570054200022588,8.679696210880815,7.713500119854496,8.202824447413066,9.613749888172531,9.083205083029048,5.613834829202724,7.9350309769058525,5.576133379024715,9.847513039488192,7.387917962941385,8.64559658113898,5.130568624617407,8.03035305143604,5.475477325983721,7.718848925820853,7.134968419587084,5.786537015128219,8.850612812602732,6.824318069874651,8.271968188789659,8.560015721031329,8.536027577360755,5.911182892781906,8.879335354065475,8.075501722763363
0.99-0.01,10.620192451327487,8.958862353508424,6.637765386311615,7.200297916048466,6.425274170850113,8.040754148719506,9.296683125824266,6.3927877768857275,10.793517848359862,4.033812179650317,5.038856711404344,4.91615503353702,7.15796787344085,7.826518502410494,4.435438291770824,8.485092275599973,8.559868165343321,10.329994972127285,8.727207596414809,8.250271498533401,7.776093284774897,7.481658934125191,4.446422525594012,6.60940343509013,6.012342332752949,7.224039549944317,8.422247052006188,6.4589715751111125,7.894279267264698,8.828439180877062,9.393807578033707,8.139472362609837,7.732812239223805,11.152074092851073,6.5890511023792975,8.598842921918926,9.418445134520425,6.91669717009252,3.9100775158212215,8.879808965610527,7.011072636100604,10.933592524223485,10.339926599554042,6.9075072152186845,4.8811086750248585,8.307464566188415,6.343231561661957,6.7776161857358,9.23980755770898,10.688887566842116
